Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
10;1060270;2НДФЛ;Покупка недвижимости/ строительство;1;0.32;мужской;0;0;высшее;специалист;>250;0;85;30;Сельское и лесное хозяйство;ЗАО;женат / замужем;1;1;1;0;0;0.027027027;1;0;0;0;0.4285714286;3;4;72;7;2;0;6;59;1;0;0;0;0;0;0
10;1060290;Поступление зарплаты на счет;Покупка автомобиля;1;0.42;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;8;30;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.3367346939;0;0;0;0;0.3333333333;3;3;65;6;3;2;15;73;1;1;0;0;1;0;0
10;1060310;Форма банка (без печати работодателя);Лечение;1;0.39;женский;1;0;незаконченное высшее;менеджер среднего звена;>250;0;205;36;Другое;ЗАО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;2;2;59;4;2;0;6;32;0;0;0;0;0;0;0
10;1060330;Свободная форма с печатью работодателя;Ремонт;1;0.43;женский;0;0;высшее;вспомогательный персонал;>250;0;22;46;Торговля;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;0;0;3;12;3;0;0;6;18;0;0;0;0;0;0;0
10;1060350;2НДФЛ;Ремонт;1;0.38;женский;0;0;высшее;менеджер среднего звена;>250;0;24;43;Другое;ЗАО;женат / замужем;1;0;0;0;0;0;0;0;0;0;1;4;0;120;4;0;0;6;60;0;0;0;0;0;0;0
10;1060370;2НДФЛ;Ремонт;1;0.59;женский;1;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;73;29;Другое;ООО;женат / замужем;2;0;0;0;0;0.3488372093;0;1;1;0;0.3333333333;2;4;56;6;2;2;2;49;1;1;0;0;0;0;0
10;1060390;Форма банка (без печати работодателя);Покупка автомобиля;1;0.33;мужской;2;0;среднее-специальное;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060410;Поступление зарплаты на счет;Другое;1;0.49;мужской;0;0;высшее;торговый представитель;>250;1;8;27;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060430;2НДФЛ;Ремонт;1;0.47;женский;0;2;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;191;34;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060450;Поступление зарплаты на счет;Покупка автомобиля;1;0.49;мужской;0;0;незаконченное высшее;вспомогательный персонал;>250;0;33;27;Торговля;ООО;холост / не замужем;1;1;0;0;0;0.1443298969;0;0;0;0;0.4;2;3;83;5;1;0;26;82;1;1;1;1;0;0;0
10;1060470;Поступление зарплаты на счет;Обучение;0;0.16;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;44;32;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060490;Поступление зарплаты на счет;Ремонт;0;0.39;женский;0;0;высшее;специалист;>250;1;13;27;Другое;ООО;холост / не замужем;0;0;0;0;0;0.2369668246;0;0;0;0;0.3333333333;4;8;161;12;3;0;6;84;1;0;0;0;0;0;0
10;1060510;Свободная форма с печатью работодателя;Ремонт;0;0.37;мужской;2;0;высшее;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060530;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.3;мужской;0;0;высшее;специалист;>250;0;13;34;Другое;Государственное предприятие;холост / не замужем;0;0;0;0;0;0.0583941606;0;0;0;0;0.25;1;3;129;4;0;1;26;82;1;0;0;0;0;0;0
10;1060550;Поступление зарплаты на счет;Покупка автомобиля;0;0.17;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;22;29;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060570;2НДФЛ;Ремонт;1;0.46;мужской;0;0;среднее-специальное;вспомогательный персонал;>250;3;218;37;Юридические услуги;ООО;холост / не замужем;1;1;1;1;1;0;0;0;0;0;0.4;2;3;90;5;1;0;11;51;0;0;0;0;0;0;0
10;1060590;2НДФЛ;Ремонт;1;0.53;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060610;2НДФЛ;Другое;1;0.41;женский;1;0;высшее;торговый представитель;>250;0;25;28;Торговля;ООО;гражданский брак;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1060630;Поступление зарплаты на счет;Отпуск;1;0.33;женский;0;0;незаконченное высшее;менеджер среднего звена;>250;0;36;30;Торговля;ООО;холост / не замужем;1;0;0;0;0;0.0459770115;0;0;0;0;0.5;4;4;83;8;2;1;12;52;1;0;0;0;0;0;0
