price,used,milage,transmission,colour,engine_capacity,horsepower,fuel_type,tax,state,year
2895000,1,258000,автоматическая,серый,3.0,245,Дизель,18375,Не требует ремонта,2011
4099000,1,123001,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
6573000,1,67705,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
2690000,1,233403,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
8840000,1,28200,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2022
3344000,1,133109,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2015
4190000,1,146730,автоматическая,синий,3.0,381,Дизель,57150,Не требует ремонта,2016
3790000,1,97995,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2015
7150000,1,29485,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2020
7899000,1,51300,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2020
10299000,1,66119,автоматическая,чёрный,3.0,400,Дизель,60000,Не требует ремонта,2020
11749000,1,14478,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2022
1786000,1,237000,автоматическая,чёрный,3.0,231,Дизель,17325,Не требует ремонта,2007
3090000,1,135783,автоматическая,белый,4.4,450,Бензин,67500,Не требует ремонта,2014
8600000,1,27000,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
3250000,1,92911,автоматическая,коричневый,3.0,306,Бензин,45900,Не требует ремонта,2015
4099000,1,123001,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2017
6573000,1,67705,автоматическая,чёрный,2.0,231,Дизель,17325,Не требует ремонта,2020
1550000,1,330000,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2009
4300000,1,132000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2015
2690000,1,233403,автоматическая,чёрный,3.0,245,Дизель,18375,Не требует ремонта,2013
7950000,1,90000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
7300000,1,98000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2020
3344000,1,133109,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2015
4190000,1,146730,автоматическая,синий,3.0,381,Дизель,57150,Не требует ремонта,2016
14490000,1,2400,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2023
3790000,1,97995,автоматическая,чёрный,3.0,218,Дизель,14170,Не требует ремонта,2015
7150000,1,29485,автоматическая,синий,3.0,340,Бензин,51000,Не требует ремонта,2020
7900000,1,54000,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2019
5050000,1,114000,автоматическая,серый,3.0,249,Дизель,18675,Не требует ремонта,2018
3988000,1,110353,автоматическая,белый,3.0,218,Дизель,16350,Не требует ремонта,2017
6300000,1,122826,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
6690000,1,133713,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2019
3799000,1,124051,автоматическая,белый,3.0,218,Дизель,14170,Не требует ремонта,2014
7899000,1,51300,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2020
8600000,1,27000,автоматическая,серый,4.4,530,Бензин,79500,Не требует ремонта,2021
1550000,1,330000,автоматическая,чёрный,3.0,286,Дизель,42900,Не требует ремонта,2009
4369000,1,118950,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2016
4300000,1,132000,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2015
7950000,1,90000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2019
7300000,1,98000,автоматическая,чёрный,3.0,265,Дизель,39750,Не требует ремонта,2020
4397000,1,135380,автоматическая,белый,3.0,249,Дизель,18675,Не требует ремонта,2016
14490000,1,2400,автоматическая,чёрный,3.0,352,Дизель,52800,Не требует ремонта,2023
7900000,1,54000,автоматическая,чёрный,3.0,340,Бензин,51000,Не требует ремонта,2019
3945000,1,128837,автоматическая,чёрный,3.0,249,Дизель,18675,Не требует ремонта,2013
12300000,1,18200,автоматическая,серебристый,3.0,381,Бензин,57150,Не требует ремонта,2023
7465000,1,42909,автоматическая,серый,3.0,265,Дизель,39750,Не требует ремонта,2019
4490000,1,136939,автоматическая,чёрный,3.0,313,Дизель,46950,Не требует ремонта,2015
